,Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
1024,01/01/2009,0.0,-31.96,-31.14,5.2,4.9,-24530.688,2.4
1025,02/01/2009,0.0,-32.03,-31.11,2.3,2.5,-28785.888,2.5
1026,03/01/2009,0.0,-31.97,-31.07,4.4,3.9,-25766.208,2.4
1027,04/01/2009,0.0,-31.91,-31.05,0.8,0.8,-27919.296,2.4
1028,05/01/2009,0.0,-31.94,-31.01,-1.9,-2.1,-29854.656,2.3
1029,06/01/2009,0.0,-31.89,-31.0,-0.7,-0.7,-29124.576,2.3
1030,07/01/2009,0.0,-31.91,-30.96,1.5,-0.3,-31173.12,2.3
1031,08/01/2009,0.0,-31.83,-30.94,4.3,6.6,-30232.224,2.4
1032,09/01/2009,0.9,-31.8,-30.93,4.9,4.8,-30597.696,2.3
1033,10/01/2009,0.0,-31.76,-30.87,1.9,4.2,-31337.28,2.3
1034,11/01/2009,0.0,-31.7,-30.83,3.4,4.5,-29845.152,2.3
1035,12/01/2009,0.0,-31.57,-30.74,3.3,3.9,-28745.28,2.3
1036,13/01/2009,1.1,-31.54,-30.63,6.0,6.3,-28932.768,2.3
1037,14/01/2009,0.0,-31.44,-30.55,8.2,8.1,-28600.128,2.3
1038,15/01/2009,0.0,-31.26,-30.57,7.8,7.1,-24973.056,2.3
1039,16/01/2009,0.0,-31.5,-30.61,5.1,5.3,-31388.256,2.3
1040,17/01/2009,0.0,-31.61,-30.68,1.6,1.6,-30941.568,2.3
1041,18/01/2009,0.1,-31.15,-30.41,6.4,6.4,-23043.744,2.3
1042,19/01/2009,0.1,-30.95,-30.28,10.3,10.3,-21658.752,2.3
1043,20/01/2009,0.0,-30.93,-30.21,12.1,12.0,-23793.696,2.3
1044,21/01/2009,0.0,-30.89,-30.18,9.4,9.0,-22443.264,2.3
1045,22/01/2009,0.0,-30.81,-30.15,7.7,7.6,-22976.352,2.3
1046,23/01/2009,0.0,-30.75,-30.08,6.0,5.6,-23939.712,2.3
1047,24/01/2009,0.0,-30.71,-29.97,8.3,7.7,-24362.208,2.4
1048,25/01/2009,4.1,-30.72,-30.04,6.3,6.6,-23709.888,2.6
1049,26/01/2009,0.0,-30.51,-29.97,3.8,0.0,-22446.72,2.6
1050,27/01/2009,0.0,-30.57,-29.96,5.8,8.1,-24992.064,2.7
1051,28/01/2009,0.0,-30.52,-29.96,5.6,4.8,-24554.016,2.6
1052,29/01/2009,0.0,-30.52,-29.93,4.6,4.5,-24059.808,2.6
1053,30/01/2009,0.0,-30.49,-29.93,6.5,5.9,-26126.496,2.5
1054,31/01/2009,0.0,-30.49,-29.86,3.0,3.4,-26694.144,2.5
1055,01/02/2009,0.0,-30.29,-29.74,3.8,4.1,-22536.576,2.5
1056,02/02/2009,0.0,-30.32,-29.71,4.7,5.1,-25226.208,2.4
1057,03/02/2009,2.9,-30.4,-29.71,9.1,9.1,-28696.032,2.5
1058,04/02/2009,7.0,-30.21,-29.65,8.7,8.3,-23134.464,2.5
1059,05/02/2009,0.1,-30.28,-29.67,11.4,10.9,-26933.472,2.5
1060,06/02/2009,0.0,-30.15,-29.54,10.5,10.1,-25482.816,2.8
1061,07/02/2009,0.0,-30.11,-29.5,9.3,8.9,-25976.16,2.8
1062,08/02/2009,0.4,-30.01,-29.48,7.0,6.7,-24349.248,2.9
1063,09/02/2009,0.0,-30.05,-29.55,6.3,5.7,-23284.8,2.8
1064,10/02/2009,0.0,-30.02,-29.46,7.5,6.7,-24525.504,2.7
1065,11/02/2009,2.8,-30.1,-29.46,5.8,5.6,-26733.888,2.8
1066,12/02/2009,0.0,-29.97,-29.45,3.4,3.3,-24623.136,2.7
1067,13/02/2009,0.0,-30.05,-29.45,1.8,1.7,-25828.416,2.7
1068,14/02/2009,0.0,-30.02,-29.43,0.7,1.1,-27366.336,2.6
1069,15/02/2009,0.0,-29.97,-29.44,1.7,1.5,-25472.448,2.6
1070,16/02/2009,0.0,-29.94,-29.4,0.2,-0.1,-27247.968,2.5
1071,17/02/2009,0.0,-29.77,-29.24,1.2,0.9,-23438.592,2.5
1072,18/02/2009,0.8,-29.79,-29.22,1.6,1.5,-24115.968,2.5
1073,19/02/2009,0.0,-29.75,-29.22,1.1,0.6,-25417.152,2.5
1074,20/02/2009,0.0,-29.77,-29.21,3.1,2.6,-25172.64,2.4
1075,21/02/2009,0.0,-29.79,-29.18,3.9,3.3,-27870.912,2.4
1076,22/02/2009,0.0,-29.64,-29.11,3.4,2.6,-24046.848,2.4
1077,23/02/2009,0.0,-29.58,-29.02,4.9,4.3,-25412.832,2.4
1078,24/02/2009,0.0,-29.56,-29.01,6.6,6.3,-24579.936,2.4
1079,25/02/2009,0.0,-29.56,-29.03,5.0,4.7,-23942.304,2.4
1080,26/02/2009,0.0,-29.52,-28.98,4.9,4.4,-26788.32,2.4
1081,27/02/2009,0.0,-29.53,-28.95,8.4,7.5,-29515.968,2.4
1082,28/02/2009,0.0,-29.56,-28.99,7.5,6.8,-30233.952,2.3
1083,01/03/2009,0.0,-29.42,-28.91,7.2,6.8,-26669.088,2.4
1084,02/03/2009,0.0,-29.42,-28.85,8.9,8.6,-27629.856,2.4
1085,03/03/2009,3.4,-29.42,-28.85,10.1,9.4,-29295.648,2.4
1086,04/03/2009,6.5,-29.21,-28.71,10.0,9.5,-26548.128,2.5
1087,05/03/2009,9.0,-29.22,-28.58,7.3,6.8,-28717.632,2.3
1088,06/03/2009,0.0,-29.26,-28.65,7.5,7.1,-29323.296,2.2
1089,07/03/2009,0.0,-29.36,-28.76,9.4,9.1,-30612.384,2.6
1090,08/03/2009,0.0,-29.3,-28.77,9.3,8.6,-28054.08,2.8
1091,09/03/2009,0.5,-29.22,-28.71,9.7,9.0,-27016.416,2.5
1092,10/03/2009,0.0,-29.24,-28.71,7.3,6.9,-27849.312,2.3
1093,11/03/2009,2.7,-29.22,-28.68,9.4,8.8,-29914.272,2.2
1094,12/03/2009,0.0,-29.28,-28.72,8.0,7.4,-31067.712,2.8
1095,13/03/2009,0.0,-29.23,-28.68,8.1,6.7,-30997.728,2.5
1096,14/03/2009,0.0,-29.2,-28.65,10.3,9.5,-30297.024,2.5
1097,15/03/2009,0.0,-29.07,-28.57,11.5,10.6,-25712.64,2.5
1098,16/03/2009,0.0,-29.16,-28.61,12.2,11.8,-30144.96,2.4
1099,17/03/2009,0.0,-29.15,-28.61,10.1,10.7,-30499.2,2.4
1100,18/03/2009,0.0,-29.12,-28.54,10.8,10.0,-31408.128,2.4
1101,19/03/2009,2.5,-28.98,-28.43,7.9,7.4,-28215.648,2.4
1102,20/03/2009,0.9,-28.95,-28.4,4.7,4.2,-26127.36,2.4
1103,21/03/2009,0.0,-28.89,-28.36,2.6,2.9,-26831.52,2.5
1104,22/03/2009,0.0,-28.85,-28.32,5.9,5.7,-26683.776,2.6
1105,23/03/2009,0.0,-28.8,-28.27,7.4,6.6,-28810.944,2.6
1106,24/03/2009,0.0,-28.69,-28.15,8.8,8.4,-25915.68,2.7
1107,25/03/2009,0.0,-28.75,-28.21,8.0,7.3,-28555.2,2.7
1108,26/03/2009,0.0,-28.77,-28.24,9.6,8.4,-28340.928,2.5
1109,27/03/2009,0.0,-28.75,-28.24,9.1,8.2,-29128.896,2.5
1110,28/03/2009,0.8,-28.7,-28.17,10.9,10.2,-28799.712,2.4
1111,29/03/2009,0.0,-28.5,-28.03,14.9,14.0,-24510.816,2.5
1112,30/03/2009,0.2,-28.58,-28.12,16.7,16.1,-28012.608,2.7
1113,31/03/2009,7.7,-28.58,-28.09,13.3,13.5,-27930.528,2.6
1114,01/04/2009,0.0,-28.52,-28.03,13.6,13.3,-27028.512,2.6
1115,02/04/2009,0.0,-28.61,-28.1,13.0,12.3,-29776.896,2.7
1116,03/04/2009,0.4,-28.6,-28.09,12.9,12.3,-28683.072,2.6
1117,04/04/2009,0.6,-28.59,-28.08,12.6,12.4,-29952.288,2.6
1118,05/04/2009,0.0,-28.52,-28.03,13.6,13.4,-27659.232,2.6
1119,06/04/2009,0.0,-28.47,-27.98,14.9,14.2,-27998.784,2.5
1120,07/04/2009,0.0,-28.43,-27.97,14.1,13.3,-28618.272,2.5
1121,08/04/2009,0.0,-28.47,-27.98,14.5,13.4,-30295.296,2.5
1122,09/04/2009,0.2,-28.46,-27.97,14.3,13.9,-30932.928,2.4
1123,10/04/2009,0.0,-28.41,-27.9,14.3,13.8,-29541.888,2.4
1124,11/04/2009,0.0,-28.33,-27.86,14.4,13.6,-28015.2,2.4
1125,12/04/2009,0.0,-28.26,-27.76,14.9,14.2,-24519.456,2.4
1126,13/04/2009,0.0,-27.89,-27.58,15.5,14.9,-21733.92,2.4
1127,14/04/2009,0.0,-28.08,-27.65,14.9,14.3,-26240.544,2.3
1128,15/04/2009,0.0,-28.29,-27.77,15.0,14.1,-30187.296,2.3
1129,16/04/2009,0.0,-28.26,-27.76,14.7,13.9,-29819.232,2.3
1130,17/04/2009,0.0,-28.21,-27.72,14.7,14.0,-29836.512,2.3
1131,18/04/2009,0.1,-28.27,-27.74,12.6,11.8,-31252.608,2.3
1132,19/04/2009,6.9,-28.08,-27.62,12.4,12.1,-24743.232,2.3
1133,20/04/2009,1.1,-28.06,-27.59,12.4,12.0,-25403.328,2.4
1134,21/04/2009,0.0,-28.07,-27.56,14.0,13.6,-27472.608,2.3
1135,22/04/2009,0.0,-28.03,-27.52,15.0,14.6,-26897.184,2.3
1136,23/04/2009,0.0,-28.1,-27.57,13.6,13.0,-30822.336,2.3
1137,24/04/2009,0.0,-28.12,-27.6,12.7,12.7,-30300.48,2.3
1138,25/04/2009,0.0,-28.1,-27.59,15.6,15.2,-30324.672,2.3
1139,26/04/2009,0.0,-28.02,-27.53,14.3,14.0,-26855.712,2.3
1140,27/04/2009,0.0,-27.91,-27.38,15.1,14.9,-27971.136,2.3
1141,28/04/2009,4.1,-27.91,-27.39,12.6,11.9,-27294.624,2.3
1142,29/04/2009,0.0,-27.94,-27.4,11.4,10.3,-28594.944,2.4
1143,30/04/2009,2.9,-27.86,-27.37,10.6,10.1,-26257.824,2.5
1144,01/05/2009,0.0,-27.89,-27.39,14.3,13.7,-27604.8,2.3
1145,02/05/2009,0.0,-27.93,-27.42,15.9,15.6,-29345.76,2.3
1146,03/05/2009,0.0,-27.82,-27.38,14.0,13.2,-26222.4,2.3
1147,04/05/2009,0.0,-27.85,-27.34,15.3,14.7,-29250.72,2.3
1148,05/05/2009,0.0,-27.88,-27.36,16.0,15.5,-29217.888,2.2
1149,06/05/2009,0.0,-27.92,-27.39,15.6,14.7,-30221.856,2.2
1150,07/05/2009,0.0,-27.98,-27.42,17.8,16.7,-32306.688,2.2
1151,08/05/2009,0.0,-27.94,-27.41,18.2,17.2,-30468.096,2.1
1152,09/05/2009,0.0,-28.01,-27.45,18.6,17.5,-32845.824,2.1
1153,10/05/2009,0.0,-27.98,-27.43,18.6,17.4,-31584.384,2.1
1154,11/05/2009,0.0,-27.95,-27.41,19.3,18.0,-30571.776,2.1
1155,12/05/2009,0.0,-28.03,-27.44,19.4,18.2,-33529.248,2.1
1156,13/05/2009,0.0,-28.05,-27.45,20.5,19.0,-33517.152,2.1
1157,14/05/2009,0.0,-28.02,-27.43,19.8,18.1,-33538.752,2.1
1158,15/05/2009,0.0,-27.98,-27.39,18.6,17.8,-32187.456,2.1
1159,16/05/2009,0.0,-27.99,-27.39,20.8,20.6,-32825.952,2.1
1160,17/05/2009,0.0,-28.01,-27.46,21.9,21.4,-32625.504,2.1
1161,18/05/2009,0.0,-28.07,-27.48,22.7,21.6,-34062.336,2.1
1162,19/05/2009,0.0,-28.12,-27.53,22.5,21.1,-35875.008,2.1
1163,20/05/2009,0.0,-28.16,-27.56,22.0,21.2,-36088.416,2.1
1164,21/05/2009,0.0,-28.2,-27.58,23.1,22.2,-34791.552,2.0
1165,22/05/2009,0.0,-28.19,-27.57,24.1,22.6,-34419.168,2.1
1166,23/05/2009,0.0,-28.26,-27.61,23.7,22.4,-36648.288,2.0
1167,24/05/2009,0.0,-28.21,-27.62,24.8,23.5,-34067.52,2.0
1168,25/05/2009,0.0,-28.25,-27.62,26.0,24.8,-36078.048,2.0
1169,26/05/2009,0.0,-28.28,-27.63,25.6,24.2,-37336.032,2.0
1170,27/05/2009,0.0,-28.35,-27.68,22.5,21.1,-36837.504,2.1
1171,28/05/2009,0.0,-28.03,-27.57,19.7,18.4,-27638.496,2.0
1172,29/05/2009,0.0,-28.12,-27.53,19.2,18.2,-31344.192,2.0
1173,30/05/2009,0.3,-28.01,-27.47,17.7,17.4,-28662.336,2.0
1174,31/05/2009,28.3,-27.94,-27.41,15.9,15.2,-26092.8,2.1
1175,01/06/2009,0.0,-27.71,-27.21,15.2,14.8,-25255.584,2.1
1176,02/06/2009,0.0,-27.95,-27.28,16.6,16.1,-31354.56,2.1
1177,03/06/2009,0.0,-27.99,-27.37,19.1,18.0,-33581.088,2.1
1178,04/06/2009,0.0,-28.0,-27.38,20.5,19.2,-33457.536,2.1
