,Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
5479,01/01/2015,0.0,0.0,0.0,0.0,0.0,-36.57,-50.65,-292.95,-2.3,-2.4,-2.25,0.0,0.0,-5.906212279,-23.51014568
5480,02/01/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.65,-292.93,6.15,3.6,5.4,0.0,0.0,-5.906212279,-23.51014568
5481,03/01/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.64,-292.97,6.3,5.25,4.55,0.0,0.0,-5.906212279,-23.51014568
5482,04/01/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.64,-293.03,7.9,5.45,7.25,0.0,0.0,-5.610901665,-22.3346384
5483,05/01/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.0,4.05,3.3,2.9,0.0,0.0,-5.906212279,-23.51014568
5484,06/01/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.02,5.55,4.75,4.6,0.0,0.0,-5.906212279,-23.51014568
5485,07/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.0,5.65,4.45,3.65,0.0,0.0,-5.906212279,-23.51014568
5486,08/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-292.98,5.3,4.55,3.4,0.0,0.0,-5.906212279,-23.51014568
5487,09/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.0,6.3,5.5,4.35,0.0,0.0,-5.906212279,-23.51014568
5488,10/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.07,6.95,5.95,5.2,0.0,0.0,-5.906212279,-23.51014568
5489,11/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.52,-293.12,7.45,7.3,7.95,0.0,0.0,-5.610901665,-22.3346384
5490,12/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.05,6.85,4.55,5.15,0.0,0.0,-5.906212279,-23.51014568
5491,13/01/2015,0.0,0.0,0.0,0.0,0.0,-36.6,-50.53,-293.06,4.6,4.25,3.6,0.0,0.0,-5.906212279,-23.51014568
5492,14/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.12,6.35,5.2,4.3,0.0,0.0,-5.906212279,-23.51014568
5493,15/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.13,6.35,4.3,4.15,0.0,0.0,-5.906212279,-23.51014568
5494,16/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.16,7.1,6.85,6.25,0.0,0.0,-5.906212279,-23.51014568
5495,17/01/2015,0.0,0.2,0.0,1.0,1.2,-36.59,-50.53,-293.19,6.35,6.8,5.4,0.0,0.0,-5.906212279,-23.51014568
5496,18/01/2015,0.0,0.0,0.0,0.0,0.6,-36.59,-50.53,-293.19,4.1,4.5,2.8,0.0,0.0,-5.610901665,-22.3346384
5497,19/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.52,-293.23,4.5,3.6,2.55,0.0,0.0,-5.906212279,-23.51014568
5498,20/01/2015,0.0,0.2,0.0,2.6,1.8,-36.58,-50.52,-293.25,4.1,4.65,3.45,0.0,0.0,-5.906212279,-23.51014568
5499,21/01/2015,0.0,0.8,0.0,2.6,4.4,-36.58,-50.52,-293.24,4.45,4.85,3.75,0.0,0.0,-5.906212279,-23.51014568
5500,22/01/2015,16.4,28.2,0.0,31.0,26.6,-36.57,-50.51,-293.24,3.2,3.95,2.4,0.0,0.0,-5.906212279,-23.51014568
5501,23/01/2015,0.6,3.4,0.0,3.4,9.4,-36.58,-50.51,-293.27,3.6,3.9,3.0,0.0,0.0,-5.906212279,-23.51014568
5502,24/01/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.23,3.85,4.8,3.8,0.0,0.0,-5.906212279,-23.51014568
5503,25/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.52,-293.21,1.1,2.4,0.95,0.0,0.0,-5.610901665,-22.3346384
5504,26/01/2015,0.0,0.0,0.0,0.0,0.0,-36.6,-50.53,-293.17,0.4,0.1,0.1,0.0,0.0,-5.906212279,-23.51014568
5505,27/01/2015,0.0,0.0,0.0,0.0,0.0,-36.6,-50.53,-293.2,0.65,-0.9,-0.3,0.0,0.0,-5.906212279,-23.51014568
5506,28/01/2015,0.0,0.0,0.0,0.0,0.0,-36.6,-50.53,-293.23,0.35,0.75,0.45,0.0,0.0,-5.906212279,-23.51014568
5507,29/01/2015,0.0,0.0,0.0,0.0,0.0,-36.59,-50.53,-293.29,1.5,0.95,0.5,0.0,0.0,-5.906212279,-23.51014568
5508,30/01/2015,21.6,38.9,0.0,37.0,16.2,-36.57,-50.51,-293.44,2.6,2.65,1.85,0.0,0.0,-5.906212279,-23.51014568
5509,31/01/2015,9.0,0.0,0.0,16.2,1.4,-36.57,-50.51,-293.39,3.15,2.2,1.55,0.0,0.0,-5.906212279,-23.51014568
5510,01/02/2015,12.8,11.6,0.0,16.0,10.8,-36.57,-50.51,-293.33,-0.45,-0.05,-0.4,0.0,0.0,-6.14579533,-24.78507589
5511,02/02/2015,5.2,5.8,0.0,3.8,0.0,-36.57,-50.51,-293.25,0.0,0.5,-1.0,0.0,0.0,-6.469258242,-26.08955357
5512,03/02/2015,2.4,7.2,0.0,0.2,0.0,-36.58,-50.52,-293.24,0.15,0.35,-0.25,0.0,0.0,-6.469258242,-26.08955357
5513,04/02/2015,4.8,0.0,0.0,20.0,2.2,-36.57,-50.51,-293.26,0.0,2.05,1.3,0.0,0.0,-6.469258242,-26.08955357
5514,05/02/2015,31.4,0.0,0.0,47.2,25.8,-36.55,-50.5,-293.27,11.85,3.2,1.4,0.0,0.0,-6.469258242,-26.08955357
5515,06/02/2015,18.0,0.0,0.0,16.4,23.4,-36.53,-50.48,-293.26,11.85,0.5,0.1,0.0,0.0,-6.469258242,-26.08955357
5516,07/02/2015,7.2,0.0,0.0,5.0,13.6,-36.53,-50.49,-293.17,11.85,0.4,-1.6,0.0,0.0,-6.469258242,-26.08955357
5517,08/02/2015,0.4,0.0,0.0,2.4,0.0,-36.54,-50.49,-293.21,11.85,0.25,-0.3,0.0,0.0,-6.14579533,-24.78507589
