iter	RMSE
0	1.508185421
1	1.287300336
2	1.105429865
3	0.9606522575
4	0.854140804
5	0.7547181633
6	0.6821068881
7	0.6321363325
8	0.5884322868
9	0.557049696
10	0.5364364232
11	0.5200307265
12	0.5070321968
13	0.49527251
14	0.4856892664
15	0.4760815506
16	0.469988516
17	0.4621708414
18	0.4583562708
19	0.4536389153
20	0.4506137735
21	0.4477988069
22	0.4435574047
23	0.4411536931
24	0.4373114985
25	0.434566045
26	0.4309405921
27	0.4285888844
28	0.4242337139
29	0.4225568901
30	0.4200543715
31	0.4178716101
32	0.4154020484
33	0.4129253736
34	0.4106385771
35	0.4078318631
36	0.4055134647
37	0.4044738067
38	0.4028061159
39	0.4003895132
40	0.3985056628
41	0.3973548218
42	0.3953491166
43	0.392803612
44	0.3920051013
45	0.3903578295
46	0.3878009384
47	0.3859048942
48	0.3845864946
49	0.3815960482
50	0.3799382528
51	0.3764999556
52	0.3743957613
53	0.3724578583
54	0.3709031921
55	0.3692431849
56	0.368360935
57	0.3668193454
58	0.3654747995
59	0.3644720114
60	0.3627802378
61	0.3614205141
62	0.3579873928
63	0.3567225768
64	0.3561693292
65	0.3554311934
66	0.3547053171
67	0.3535663383
68	0.3515593802
69	0.3501277446
70	0.3496352584
71	0.3475252066
72	0.3466707555
73	0.3459529467
74	0.3453349481
75	0.3428764856
76	0.3411561527
77	0.340495305
78	0.3390092861
79	0.3380365185
80	0.3376341287
81	0.3372401374
82	0.3369550306
83	0.3366757232
84	0.3363899319
85	0.3350884153
86	0.3342791145
87	0.332406172
88	0.3312388138
89	0.3296636066
90	0.3273246621
91	0.3267625749
92	0.3264192998
93	0.3257466328
94	0.3253489836
95	0.3246051694
96	0.3241121954
97	0.3226335198
98	0.3206134836
99	0.3200496962
