iter	Passed	Remaining
0	12	1194
1	14	717
2	17	562
3	19	478
4	22	425
5	25	396
6	28	375
7	31	361
8	34	349
9	37	336
10	39	323
11	42	312
12	45	302
13	47	293
14	50	285
15	53	279
16	56	276
17	59	271
18	62	265
19	65	260
20	67	253
21	69	247
22	72	241
23	75	237
24	77	232
25	79	226
26	82	221
27	84	217
28	86	212
29	89	209
30	92	206
31	94	201
32	97	198
33	100	195
34	103	191
35	105	188
36	108	184
37	110	181
38	113	177
39	115	173
40	118	170
41	120	167
42	123	163
43	126	160
44	128	157
45	130	153
46	133	150
47	136	147
48	138	144
49	141	141
50	143	138
51	146	134
52	148	131
53	151	128
54	154	126
55	156	122
56	158	119
57	161	116
58	163	113
59	166	110
60	168	107
61	170	104
62	173	101
63	175	98
64	177	95
65	180	92
66	182	90
67	185	87
68	187	84
69	189	81
70	192	78
71	194	75
72	197	72
73	199	70
74	201	67
75	204	64
76	206	61
77	209	58
78	211	56
79	214	53
80	216	50
81	218	48
82	221	45
83	224	42
84	227	40
85	230	37
86	232	34
87	234	32
88	237	29
89	239	26
90	241	23
91	243	21
92	246	18
93	248	15
94	250	13
95	252	10
96	254	7
97	257	5
98	260	2
99	262	0
