,Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
2860,02/01/2006,3.2,8.4,0.2,8.0,6.0,7.4,3.6,0.0,0.0,4.2,-14.96,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,7.2,0.0,5.55,5.3,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.53,0.72
2861,03/01/2006,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,-15.02,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,6.35,0.0,6.25,6.15,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.48,0.47
2862,04/01/2006,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-15.02,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,9.6,0.0,3.8,3.8,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.43,0.21
2863,05/01/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.02,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,5.7,0.0,4.35,4.2,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.38,0.18
2864,06/01/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-15.04,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,5.05,0.0,4.95,3.25,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.35,0.15
2865,07/01/2006,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,-15.06,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,4.75,0.0,5.05,3.25,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.36,0.13
2866,08/01/2006,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-15.07,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,5.3,7.1,5.65,4.15,-10355.06129,-17331.98265,-12716.70735,0.0,0.0,0.31,0.12
2867,09/01/2006,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,-15.08,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,5.65,5.75,3.4,3.2,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.32,0.11
2868,10/01/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-15.08,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,2.9,8.65,4.5,2.5,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.28,0.1
2869,11/01/2006,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-15.08,-5.651273927392742,-1.9863015497767291,-6.316783314020861,-3.9186391437308936,7.95,8.55,4.25,2.9,-10900.06452,-18244.19226,-13386.00774,0.0,0.0,0.28,0.1
