Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.7,7.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.2,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.35,7.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.2,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.6,6.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.2,0.4,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.85,9.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.2,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.55,7.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.2,3.10585034013604,0.4,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.3,8.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
3.4,4.8,3.10585034013604,1.8,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.85,11.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,2.2,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,11.6,13.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.9,12.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,10.5,10.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.2,0.2,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,12.05,10.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,12.2,11.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.75,9.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
5.6,3.8,3.10585034013604,3.4,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,2.9,5.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
1.0,2.8,3.10585034013604,5.6,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,2.7,4.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
8.8,19.8,3.10585034013604,7.6,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,1.55,3.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
12.4,0.2,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,5.05,6.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.4,2.4,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,7.1,7.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
4.2,7.0,3.10585034013604,5.8,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.25,9.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
7.6,1.4,3.10585034013604,1.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.85,10.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.2,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,11.55,12.75,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,12.35,12.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.2,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,11.2,10.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.2,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,11.0,12.7,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,10.85,9.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,10.45,10.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,10.3,9.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,9.4,10.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
2.6,7.0,3.10585034013604,2.8,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,4.9,3.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3.8,17.0,3.10585034013604,10.8,3.222134387351791,8.734782608695737,2.391108247422662,-8.7,0.0,0.0,4.8,3.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
27.2,8.0,3.10585034013604,10.2,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,7.15,7.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,19.6,3.10585034013604,12.6,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,3.45,3.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
25.8,2.6,3.10585034013604,1.4,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,4.35,5.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
1.6,1.4,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,5.85,6.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
1.2,1.0,3.10585034013604,1.4,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.35,8.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,8.6,3.10585034013604,8.4,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,8.6,9.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
7.2,2.6,3.10585034013604,1.6,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,9.35,9.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.2,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,10.7,9.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,12.45,11.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
0.0,0.0,3.10585034013604,0.0,3.222134387351791,8.734782608695737,2.391108247422662,-8.6,0.0,0.0,11.75,10.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
