Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
0.0,0.0,3.6633819951338147,0.0,0.0,-36.57,-50.65,-292.95,-2.3,-2.4,-2.25,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.58,-50.65,-292.93,6.15,3.6,5.4,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.58,-50.64,-292.97,6.3,5.25,4.55,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.58,-50.64,-293.03,7.9,5.45,7.25,0.0,0.0,-5.610901665,-22.3346384
0.0,0.0,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.0,4.05,3.3,2.9,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.02,5.55,4.75,4.6,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.0,5.65,4.45,3.65,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-292.98,5.3,4.55,3.4,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.0,6.3,5.5,4.35,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.07,6.95,5.95,5.2,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.52,-293.12,7.45,7.3,7.95,0.0,0.0,-5.610901665,-22.3346384
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.05,6.85,4.55,5.15,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.6,-50.53,-293.06,4.6,4.25,3.6,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.12,6.35,5.2,4.3,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.13,6.35,4.3,4.15,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.16,7.1,6.85,6.25,0.0,0.0,-5.906212279,-23.51014568
0.0,0.2,3.6633819951338147,1.0,1.2,-36.59,-50.53,-293.19,6.35,6.8,5.4,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.6,-36.59,-50.53,-293.19,4.1,4.5,2.8,0.0,0.0,-5.610901665,-22.3346384
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.52,-293.23,4.5,3.6,2.55,0.0,0.0,-5.906212279,-23.51014568
