Rainfall_Terni,Flow_Rate_Lupa
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.797,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-97.71291590254127
2.763,-166.02
2.763,-166.97
2.763,-167.72
2.763,-168.65
2.763,-169.42
2.763,-170.21
2.763,-171.1
2.763,-171.69
2.763,-172.07
2.763,-172.33
2.076,-172.68
2.076,-172.88
2.076,-173.15
2.076,-173.55
2.076,-173.83
2.076,-175.7
2.076,-176.86
2.076,-177.86
2.076,-178.9
2.076,-180.08
2.076,-180.45
2.076,-181.34
2.076,-181.77
2.076,-181.71
2.076,-181.83
2.076,-181.8
2.076,-181.9
2.076,-181.86
2.076,-182.02
2.076,-182.14
2.076,-182.31
2.076,-182.13
2.076,-182.04
2.076,-182.0
2.076,-182.03
2.076,-181.87
2.076,-181.64
2.076,-181.4
2.076,-180.9
2.076,-180.61
2.076,-180.42
2.79,-180.18
2.79,-179.95
2.79,-179.92
2.79,-179.89
2.79,-179.94
2.79,-180.3
2.79,-180.43
2.79,-180.45
2.79,-180.46
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
2.79,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-97.71291590254127
1.139,-157.37
1.139,-156.32
3.062,-156.61
3.062,-156.68
3.062,-156.36
3.062,-155.79
3.062,-155.1
3.062,-154.31
3.062,-153.18
3.062,-152.38
3.062,-151.77
3.062,-150.98
3.062,-150.15
3.062,-149.33
3.062,-148.52
3.062,-147.58
3.062,-146.84
3.062,-145.97
3.062,-145.3
3.062,-144.49
3.062,-143.63
3.062,-142.61
3.062,-141.92
3.062,-141.6
3.062,-140.56
3.062,-140.06
3.062,-139.6
3.062,-138.93
3.062,-138.09
3.062,-137.4
3.062,-136.73
3.062,-135.97
1.276,-134.99
1.276,-134.52
1.276,-134.31
1.276,-133.7
1.276,-133.56
1.276,-134.17
1.276,-133.88
1.276,-133.62
1.276,-132.81
1.276,-132.12
1.276,-131.21
1.276,-130.35
1.276,-129.62
1.276,-128.9
1.276,-128.23
1.276,-127.51
1.276,-126.75
1.276,-125.65
1.276,-124.86
1.276,-124.47
1.276,-123.8
1.276,-123.12
1.276,-122.42
1.276,-121.83
1.276,-121.13
1.276,-120.47
1.276,-119.98
1.276,-119.35
1.276,-118.77
1.276,-118.39
1.276,-117.86
0.95,-117.19
0.95,-116.51
0.95,-116.11
0.95,-115.68
0.95,-115.22
0.95,-114.8
0.95,-114.36
0.95,-113.77
0.95,-112.92
0.95,-112.36
0.95,-111.77
0.95,-111.25
0.95,-110.64
0.95,-110.1
0.95,-109.46
0.95,-108.71
0.95,-107.88
0.95,-107.23
0.95,-106.7
0.95,-106.23
0.95,-105.56
0.95,-104.88
0.95,-104.0
0.95,-103.4
0.95,-102.87
0.95,0.0
0.95,-101.85
0.95,-101.28
0.95,-100.72
0.95,-100.16
0.95,-99.62
3.57,-99.14
3.57,-98.7
3.57,-98.18
3.57,-97.78
3.57,-97.08
3.57,-96.35
3.57,-96.17
3.57,-95.81
3.57,-95.43
3.57,-95.1
3.57,-94.68
3.57,-94.12
3.57,-93.47
3.57,-93.25
3.57,-92.9
3.57,-92.81
3.57,-92.68
3.57,-92.27
3.57,-91.81
3.57,-91.25
3.57,-90.81
3.57,-90.66
3.57,-90.23
3.57,-89.8
3.57,-89.33
3.57,-88.59
3.57,-88.07
3.57,-87.86
3.57,-87.42
3.57,-86.99
2.562,-86.53
2.562,-86.12
2.562,-85.54
2.562,-85.02
2.562,-84.83
2.562,-84.47
2.562,-84.05
2.562,-83.63
2.562,-83.22
2.562,-82.13
2.562,-82.19
2.562,-81.5
2.562,-81.57
2.562,-81.43
2.562,-81.33
2.562,-81.25
2.562,-80.88
2.562,-80.42
2.562,-80.13
2.562,-79.83
2.562,-79.4
2.562,-78.43
2.562,-78.25
2.562,-78.02
2.562,-77.39
2.562,-77.02
2.562,-97.71291590254127
2.562,-97.71291590254127
2.562,-97.71291590254127
2.562,-97.71291590254127
2.562,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
4.057,-97.71291590254127
