Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
0.0001274053494630197,0.00033443904234042664,7.962834341438731e-06,0.0003185133736575492,0.00023888503024316188,0.00029462487063323305,0.00014333101814589715,0.0,0.0,0.00016721952117021332,-0.000595620008739617,-0.00022500079050960124,-7.908295096507555e-05,-0.0002514974955015623,-0.0001560173717270321,0.0002866620362917943,0.0,0.00022096865297492474,0.00021101511004812634,-0.43397704041876933,-0.7263774032986934,-0.5329528106341832,0.0,0.0,2.1101511004812636e-05,2.8666203629179426e-05
7.962835970201292e-06,0.0,0.0,7.962835970201292e-06,0.0,7.962835970201292e-06,0.0,0.0,7.962835970201292e-06,7.962835970201292e-06,-0.000598008981362117,-0.00022500083653251824,-7.908296714114355e-05,-0.00025149754694426315,-0.00015601740363969574,0.00025282004205389103,0.0,0.0002488386240687904,0.00024485720608368974,-0.4339771291868544,-0.72637755187598,-0.5329529196473245,0.0,0.0,1.91108063284831e-05,1.8712664529973034e-05
0.0,7.962835948173872e-06,0.0,0.0,0.0,0.0,7.962835948173872e-06,0.0,0.0,0.0,-0.0005980089797078577,-0.0002250008359101033,-7.908296692237805e-05,-0.00025149754624855094,-0.00015601740320810817,0.0003822161255123458,0.0,0.00015129388301530355,0.00015129388301530355,-0.43397712798635285,-0.7263775498666175,-0.5329529181730284,0.0,0.0,1.7120097288573823e-05,8.360977745582565e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00059800900441117,-0.0002250008452047228,-7.908297018923742e-05,-0.00025149755663773015,-0.0001560174096530727,0.00022694083389771435,0.0,0.00017319168902720303,0.00016721956181936848,-0.43397714591362974,-0.7263775798727413,-0.5329529401889225,0.0,0.0,1.5129388926514289e-05,7.166552649401505e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.592567265212018e-05,0.0,0.0,-0.0005988052917197187,-0.00022500084658779598,-7.908297067535796e-05,-0.00025149755818367777,-0.0001560174106121068,0.00020106161723301724,0.0,0.00019708019906998722,0.00012939609029847645,-0.4339771485812737,-0.7263775843377616,-0.5329529434649676,0.0,0.0,1.3934963570605156e-05,5.972127244545067e-06
0.0,0.0,0.0,7.962836334495035e-06,0.0,0.0,7.962836334495035e-06,7.962836334495035e-06,0.0,7.962836334495035e-06,-0.0005996015759874762,-0.0002250008468261369,-7.908297075912968e-05,-0.00025149755845008635,-0.00015601741077737435,0.00018911736294425707,0.0,0.00020106161744599962,0.00012939609043554433,-0.4339771490409809,-0.7263775851072054,-0.5329529440295188,0.0,0.0,1.4333105402091062e-05,5.175843617421773e-06
0.0,8.381932204188967e-06,0.0,8.381932204188967e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006315785915856386,-0.0002368429746335334,-8.32452246365201e-05,-0.00026473424743337476,-0.00016422883817716725,0.0002221212034110076,0.0002975585932487083,0.00023678958476833832,0.00017392509323692107,-0.4339771085150077,-0.7263775176823972,-0.5329528943410576,0.0,0.0,1.2991994916492897e-05,5.0291593225133796e-06
7.962836153184395e-06,7.962836153184395e-06,0.0,0.0,0.0,0.0,7.962836153184395e-06,0.0,0.0,7.962836153184395e-06,-0.0006003978459501034,-0.00022500084170295643,-7.908296895844165e-05,-0.00025149755272358624,-0.0001560174072249195,0.00022495012132745917,0.00022893153940405135,0.0001353682146041347,0.00012740537845095032,-0.43397713915949254,-0.7263775685678745,-0.5329529318943906,0.0,0.0,1.2740537845095031e-05,4.379559884251417e-06
0.0,0.0,0.0,0.0,0.0,0.0,7.962836009279737e-06,0.0,0.0,0.0,-0.0006003978350996921,-0.0002250008376367332,-7.908296752925142e-05,-0.0002514975481785135,-0.00015601740440536734,0.00011546112213455617,0.0003443926574013486,0.00017916381020879405,9.95354501159967e-05,-0.4339771313166422,-0.7263775554407532,-0.5329529222628462,0.0,0.0,1.114797041299163e-05,3.981418004639868e-06
0.0,0.0,0.0,7.962835674248636e-06,0.0,0.0,7.962835674248636e-06,0.0,0.0,0.0,-0.0006003978098383472,-0.0002250008281699706,-7.908296420188747e-05,-0.0002514975375969192,-0.00015601739784103745,0.0003165227180513833,0.00034041122507412925,0.00016921025807778352,0.00011546111727660523,-0.4339771130573392,-0.7263775248788943,-0.5329528998392018,0.0,0.0,1.1147969943948093e-05,3.981417837124318e-06
