iter	Passed	Remaining
0	3	340
1	7	348
2	10	336
3	13	323
4	16	322
5	20	313
6	23	316
7	27	311
8	30	307
9	33	299
10	36	297
11	39	292
12	43	289
13	46	285
14	49	281
15	53	280
16	57	279
17	60	274
18	63	270
19	66	264
20	69	261
21	72	257
22	75	252
23	78	247
24	80	242
25	84	239
26	86	235
27	89	231
28	92	226
29	95	222
30	98	218
31	101	216
32	104	212
33	107	208
34	110	204
35	112	200
36	117	199
37	121	198
38	125	195
39	129	193
40	133	192
41	137	189
42	140	186
43	143	182
44	146	179
45	149	175
46	152	172
47	155	168
48	159	165
49	162	162
50	165	158
51	168	155
52	172	152
53	174	148
54	178	145
55	180	142
56	183	138
57	186	135
58	189	131
59	192	128
60	195	125
61	198	121
62	202	118
63	204	115
64	207	111
65	210	108
66	213	105
67	217	102
68	220	98
69	222	95
70	226	92
71	229	89
72	231	85
73	234	82
74	237	79
75	241	76
76	243	72
77	247	69
78	249	66
79	252	63
80	255	60
81	258	56
82	261	53
83	264	50
84	267	47
85	270	43
86	273	40
87	276	37
88	278	34
89	281	31
90	284	28
91	287	25
92	290	21
93	293	18
94	296	15
95	299	12
96	303	9
97	306	6
98	309	3
99	311	0
