iter	RMSE
0	0.3313471259
1	0.3106184232
2	0.2826737594
3	0.2601814683
4	0.2413187198
5	0.2221064119
6	0.2081349339
7	0.1945318344
8	0.1796073036
9	0.1675731482
10	0.1542895307
11	0.1437143054
12	0.1351176173
13	0.1269109294
14	0.1186679669
15	0.111169404
16	0.1053141996
17	0.1002423206
18	0.09461962185
19	0.09037228293
20	0.08535041803
21	0.08029365319
22	0.07590013994
23	0.07113730354
24	0.06731409121
25	0.06401468914
26	0.06091443508
27	0.05787227542
28	0.05523051292
29	0.05278913836
30	0.05018710322
31	0.04802050602
32	0.04586466162
33	0.04381940196
34	0.04207135765
35	0.03976398615
36	0.03788026684
37	0.03616170482
38	0.03461476402
39	0.03300977745
40	0.03145503379
41	0.03003386069
42	0.02856499157
43	0.02704381178
44	0.0260404176
45	0.02496400696
46	0.02369877027
47	0.02246311251
48	0.02155671766
49	0.0209191554
50	0.01990273164
51	0.01904567587
52	0.01831526756
53	0.01791878901
54	0.01716842872
55	0.01631253568
56	0.01583904714
57	0.0152400332
58	0.01464246663
59	0.01424265663
60	0.01385218957
61	0.01335528625
62	0.0130491355
63	0.0127980003
64	0.01235250511
65	0.01208682106
66	0.01184065157
67	0.01148321308
68	0.01117763486
69	0.01085051012
70	0.01059362454
71	0.01035529909
72	0.009880813303
73	0.009485473897
74	0.009073091855
75	0.008828399453
76	0.00852250129
77	0.008382867378
78	0.008113393894
79	0.007946128
80	0.007810193892
81	0.00765542203
82	0.007375016689
83	0.007059273322
84	0.006945480652
85	0.006624716431
86	0.006486209084
87	0.006359030883
88	0.006126273858
89	0.005891207463
90	0.005636772402
91	0.005527176574
92	0.005419700581
93	0.005210342749
94	0.005119117536
95	0.004943232277
96	0.004770368577
97	0.004583994336
98	0.004506365554
99	0.004292165028
