iter	Passed	Remaining
0	2	278
1	4	241
2	6	224
3	9	239
4	12	230
5	14	234
6	16	225
7	19	218
8	21	212
9	23	209
10	25	206
11	27	202
12	29	199
13	31	196
14	34	193
15	36	194
16	40	196
17	42	192
18	44	189
19	46	185
20	48	181
21	50	180
22	52	177
23	55	176
24	58	174
25	59	170
26	62	168
27	64	165
28	66	162
29	69	162
30	71	159
31	73	156
32	75	153
33	78	151
34	79	147
35	81	144
36	83	141
37	85	138
38	86	135
39	88	133
40	90	130
41	92	127
42	93	124
43	96	122
44	98	120
45	100	117
46	101	114
47	103	112
48	105	110
49	107	107
50	109	105
51	111	102
52	113	100
53	115	98
54	116	95
55	118	93
56	120	91
57	122	88
58	124	86
59	126	84
60	128	81
61	130	79
62	132	77
63	133	75
64	135	72
65	137	70
66	138	68
67	140	66
68	142	64
69	144	61
70	146	59
71	147	57
72	149	55
73	151	53
74	153	51
75	154	48
76	156	46
77	158	44
78	160	42
79	162	40
80	163	38
81	165	36
82	167	34
83	169	32
84	170	30
85	173	28
86	175	26
87	176	24
88	178	22
89	180	20
90	181	17
91	183	15
92	185	13
93	187	11
94	189	9
95	191	7
96	192	5
97	194	3
98	196	1
99	197	0
