,Date,Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
2973,21/02/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,8.7,7.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
2974,22/02/2008,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,9.35,7.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
2975,23/02/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,8.6,6.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
2976,24/02/2008,0.2,0.4,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,9.85,9.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
2977,25/02/2008,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,9.55,7.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
2978,26/02/2008,0.0,0.2,0.0,0.4,0.0,0.0,0.0,-8.6,0.0,0.0,9.3,8.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
2979,27/02/2008,3.4,4.8,0.0,1.8,0.0,0.0,0.0,-8.6,0.0,0.0,9.85,11.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
2980,28/02/2008,0.0,2.2,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,11.6,13.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
2981,29/02/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,9.9,12.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
2982,01/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,10.5,10.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
2983,02/03/2008,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,12.05,10.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
2984,03/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,12.2,11.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
2985,04/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,8.75,9.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
2986,05/03/2008,5.6,3.8,0.0,3.4,0.0,0.0,0.0,-8.6,0.0,0.0,2.9,5.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
2987,06/03/2008,1.0,2.8,0.0,5.6,0.0,0.0,0.0,-8.7,0.0,0.0,2.7,4.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
2988,07/03/2008,8.8,19.8,0.0,7.6,0.0,0.0,0.0,-8.7,0.0,0.0,1.55,3.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
2989,08/03/2008,12.4,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,5.05,6.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
2990,09/03/2008,0.4,2.4,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,7.1,7.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
2991,10/03/2008,4.2,7.0,0.0,5.8,0.0,0.0,0.0,-8.6,0.0,0.0,8.25,9.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
2992,11/03/2008,7.6,1.4,0.0,1.0,0.0,0.0,0.0,-8.6,0.0,0.0,8.85,10.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
2993,12/03/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,11.55,12.75,-160.68437663964536,-147.77313359782198,-135.2146632948606
2994,13/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,12.35,12.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
2995,14/03/2008,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,11.2,10.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
2996,15/03/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,11.0,12.7,-160.68437663964536,-147.77313359782198,-135.2146632948606
2997,16/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,10.85,9.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
2998,17/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,10.45,10.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
