,Date,Rainfall_Terni,Flow_Rate_Lupa
0,01/01/2009,2.797,-113.96
1,02/01/2009,2.797,-113.96
2,03/01/2009,2.797,-113.96
3,04/01/2009,2.797,-113.96
4,05/01/2009,2.797,-113.96
5,06/01/2009,2.797,-113.96
6,07/01/2009,2.797,-113.96
7,08/01/2009,2.797,-113.96
8,09/01/2009,2.797,-113.96
9,10/01/2009,2.797,-113.96
10,11/01/2009,2.797,-113.96
11,12/01/2009,2.797,-113.96
12,13/01/2009,2.797,-113.96
13,14/01/2009,2.797,-113.96
14,15/01/2009,2.797,-113.96
15,16/01/2009,2.797,-113.96
16,17/01/2009,2.797,-113.96
17,18/01/2009,2.797,-113.96
18,19/01/2009,2.797,-113.96
19,20/01/2009,2.797,-113.96
20,21/01/2009,2.797,-113.96
21,22/01/2009,2.797,-113.96
22,23/01/2009,2.797,-113.96
23,24/01/2009,2.797,-113.96
24,25/01/2009,2.797,-113.96
25,26/01/2009,2.797,-113.96
26,27/01/2009,2.797,-113.96
27,28/01/2009,2.797,-113.96
28,29/01/2009,2.797,-113.96
29,30/01/2009,2.797,-113.96
30,31/01/2009,2.797,-113.96
31,01/02/2009,2.763,-113.96
32,02/02/2009,2.763,-113.96
33,03/02/2009,2.763,-113.96
34,04/02/2009,2.763,-113.96
35,05/02/2009,2.763,-113.96
36,06/02/2009,2.763,-113.96
37,07/02/2009,2.763,-113.96
38,08/02/2009,2.763,-113.96
39,09/02/2009,2.763,-113.96
40,10/02/2009,2.763,-113.96
41,11/02/2009,2.763,-113.96
42,12/02/2009,2.763,-113.96
43,13/02/2009,2.763,-113.96
44,14/02/2009,2.763,-113.96
45,15/02/2009,2.763,-113.96
46,16/02/2009,2.763,-113.96
47,17/02/2009,2.763,-113.96
48,18/02/2009,2.763,-113.96
49,19/02/2009,2.763,-166.02
50,20/02/2009,2.763,-166.97
51,21/02/2009,2.763,-167.72
52,22/02/2009,2.763,-168.65
53,23/02/2009,2.763,-169.42
54,24/02/2009,2.763,-170.21
55,25/02/2009,2.763,-171.1
56,26/02/2009,2.763,-171.69
57,27/02/2009,2.763,-172.07
58,28/02/2009,2.763,-172.33
59,01/03/2009,2.076,-172.68
60,02/03/2009,2.076,-172.88
61,03/03/2009,2.076,-173.15
62,04/03/2009,2.076,-173.55
63,05/03/2009,2.076,-173.83
64,06/03/2009,2.076,-175.7
65,07/03/2009,2.076,-176.86
66,08/03/2009,2.076,-177.86
67,09/03/2009,2.076,-178.9
68,10/03/2009,2.076,-180.08
69,11/03/2009,2.076,-180.45
70,12/03/2009,2.076,-181.34
71,13/03/2009,2.076,-181.77
72,14/03/2009,2.076,-181.71
73,15/03/2009,2.076,-181.83
74,16/03/2009,2.076,-181.8
75,17/03/2009,2.076,-181.9
76,18/03/2009,2.076,-181.86
77,19/03/2009,2.076,-182.02
78,20/03/2009,2.076,-182.14
79,21/03/2009,2.076,-182.31
80,22/03/2009,2.076,-182.13
81,23/03/2009,2.076,-182.04
82,24/03/2009,2.076,-182.0
83,25/03/2009,2.076,-182.03
84,26/03/2009,2.076,-181.87
85,27/03/2009,2.076,-181.64
86,28/03/2009,2.076,-181.4
87,29/03/2009,2.076,-180.9
88,30/03/2009,2.076,-180.61
89,31/03/2009,2.076,-180.42
90,01/04/2009,2.79,-180.18
91,02/04/2009,2.79,-179.95
92,03/04/2009,2.79,-179.92
93,04/04/2009,2.79,-179.89
94,05/04/2009,2.79,-179.94
95,06/04/2009,2.79,-180.3
96,07/04/2009,2.79,-180.43
97,08/04/2009,2.79,-180.45
98,09/04/2009,2.79,-180.46
99,10/04/2009,2.79,-113.96
100,11/04/2009,2.79,-113.96
101,12/04/2009,2.79,-113.96
102,13/04/2009,2.79,-113.96
103,14/04/2009,2.79,-113.96
104,15/04/2009,2.79,-113.96
105,16/04/2009,2.79,-113.96
106,17/04/2009,2.79,-113.96
107,18/04/2009,2.79,-113.96
108,19/04/2009,2.79,-113.96
109,20/04/2009,2.79,-113.96
110,21/04/2009,2.79,-113.96
111,22/04/2009,2.79,-113.96
112,23/04/2009,2.79,-113.96
113,24/04/2009,2.79,-113.96
114,25/04/2009,2.79,-113.96
115,26/04/2009,2.79,-113.96
116,27/04/2009,2.79,-113.96
117,28/04/2009,2.79,-113.96
118,29/04/2009,2.79,-113.96
119,30/04/2009,2.79,-113.96
120,01/05/2009,1.139,-113.96
121,02/05/2009,1.139,-113.96
122,03/05/2009,1.139,-113.96
123,04/05/2009,1.139,-113.96
124,05/05/2009,1.139,-113.96
125,06/05/2009,1.139,-113.96
126,07/05/2009,1.139,-113.96
127,08/05/2009,1.139,-113.96
128,09/05/2009,1.139,-113.96
129,10/05/2009,1.139,-113.96
130,11/05/2009,1.139,-113.96
131,12/05/2009,1.139,-113.96
132,13/05/2009,1.139,-113.96
133,14/05/2009,1.139,-113.96
134,15/05/2009,1.139,-113.96
135,16/05/2009,1.139,-113.96
136,17/05/2009,1.139,-113.96
137,18/05/2009,1.139,-113.96
138,19/05/2009,1.139,-113.96
139,20/05/2009,1.139,-113.96
140,21/05/2009,1.139,-113.96
141,22/05/2009,1.139,-113.96
142,23/05/2009,1.139,-113.96
143,24/05/2009,1.139,-113.96
144,25/05/2009,1.139,-113.96
145,26/05/2009,1.139,-113.96
146,27/05/2009,1.139,-113.96
147,28/05/2009,1.139,-113.96
148,29/05/2009,1.139,-113.96
149,30/05/2009,1.139,-157.37
150,31/05/2009,1.139,-156.32
151,01/06/2009,3.062,-156.61
152,02/06/2009,3.062,-156.68
153,03/06/2009,3.062,-156.36
154,04/06/2009,3.062,-155.79
155,05/06/2009,3.062,-155.1
156,06/06/2009,3.062,-154.31
157,07/06/2009,3.062,-153.18
158,08/06/2009,3.062,-152.38
159,09/06/2009,3.062,-151.77
160,10/06/2009,3.062,-150.98
161,11/06/2009,3.062,-150.15
162,12/06/2009,3.062,-149.33
163,13/06/2009,3.062,-148.52
164,14/06/2009,3.062,-147.58
165,15/06/2009,3.062,-146.84
166,16/06/2009,3.062,-145.97
167,17/06/2009,3.062,-145.3
168,18/06/2009,3.062,-144.49
169,19/06/2009,3.062,-143.63
170,20/06/2009,3.062,-142.61
171,21/06/2009,3.062,-141.92
172,22/06/2009,3.062,-141.6
173,23/06/2009,3.062,-140.56
174,24/06/2009,3.062,-140.06
175,25/06/2009,3.062,-139.6
176,26/06/2009,3.062,-138.93
177,27/06/2009,3.062,-138.09
178,28/06/2009,3.062,-137.4
179,29/06/2009,3.062,-136.73
180,30/06/2009,3.062,-135.97
181,01/07/2009,1.276,-134.99
182,02/07/2009,1.276,-134.52
183,03/07/2009,1.276,-134.31
184,04/07/2009,1.276,-133.7
185,05/07/2009,1.276,-133.56
186,06/07/2009,1.276,-134.17
187,07/07/2009,1.276,-133.88
188,08/07/2009,1.276,-133.62
189,09/07/2009,1.276,-132.81
190,10/07/2009,1.276,-132.12
191,11/07/2009,1.276,-131.21
192,12/07/2009,1.276,-130.35
193,13/07/2009,1.276,-129.62
194,14/07/2009,1.276,-128.9
195,15/07/2009,1.276,-128.23
196,16/07/2009,1.276,-127.51
197,17/07/2009,1.276,-126.75
198,18/07/2009,1.276,-125.65
199,19/07/2009,1.276,-124.86
200,20/07/2009,1.276,-124.47
201,21/07/2009,1.276,-123.8
202,22/07/2009,1.276,-123.12
203,23/07/2009,1.276,-122.42
204,24/07/2009,1.276,-121.83
205,25/07/2009,1.276,-121.13
206,26/07/2009,1.276,-120.47
207,27/07/2009,1.276,-119.98
208,28/07/2009,1.276,-119.35
209,29/07/2009,1.276,-118.77
210,30/07/2009,1.276,-118.39
211,31/07/2009,1.276,-117.86
212,01/08/2009,0.95,-117.19
213,02/08/2009,0.95,-116.51
214,03/08/2009,0.95,-116.11
215,04/08/2009,0.95,-115.68
216,05/08/2009,0.95,-115.22
217,06/08/2009,0.95,-114.8
218,07/08/2009,0.95,-114.36
219,08/08/2009,0.95,-113.77
220,09/08/2009,0.95,-112.92
221,10/08/2009,0.95,-112.36
222,11/08/2009,0.95,-111.77
223,12/08/2009,0.95,-111.25
224,13/08/2009,0.95,-110.64
225,14/08/2009,0.95,-110.1
226,15/08/2009,0.95,-109.46
227,16/08/2009,0.95,-108.71
228,17/08/2009,0.95,-107.88
229,18/08/2009,0.95,-107.23
230,19/08/2009,0.95,-106.7
231,20/08/2009,0.95,-106.23
232,21/08/2009,0.95,-105.56
233,22/08/2009,0.95,-104.88
234,23/08/2009,0.95,-104.0
235,24/08/2009,0.95,-103.4
236,25/08/2009,0.95,-102.87
237,26/08/2009,0.95,0.0
238,27/08/2009,0.95,-101.85
239,28/08/2009,0.95,-101.28
240,29/08/2009,0.95,-100.72
241,30/08/2009,0.95,-100.16
242,31/08/2009,0.95,-99.62
243,01/09/2009,3.57,-99.14
244,02/09/2009,3.57,-98.7
245,03/09/2009,3.57,-98.18
246,04/09/2009,3.57,-97.78
247,05/09/2009,3.57,-97.08
248,06/09/2009,3.57,-96.35
249,07/09/2009,3.57,-96.17
250,08/09/2009,3.57,-95.81
251,09/09/2009,3.57,-95.43
252,10/09/2009,3.57,-95.1
253,11/09/2009,3.57,-94.68
254,12/09/2009,3.57,-94.12
255,13/09/2009,3.57,-93.47
256,14/09/2009,3.57,-93.25
257,15/09/2009,3.57,-92.9
258,16/09/2009,3.57,-92.81
259,17/09/2009,3.57,-92.68
260,18/09/2009,3.57,-92.27
261,19/09/2009,3.57,-91.81
262,20/09/2009,3.57,-91.25
263,21/09/2009,3.57,-90.81
264,22/09/2009,3.57,-90.66
265,23/09/2009,3.57,-90.23
266,24/09/2009,3.57,-89.8
267,25/09/2009,3.57,-89.33
268,26/09/2009,3.57,-88.59
269,27/09/2009,3.57,-88.07
270,28/09/2009,3.57,-87.86
271,29/09/2009,3.57,-87.42
272,30/09/2009,3.57,-86.99
273,01/10/2009,2.562,-86.53
274,02/10/2009,2.562,-86.12
275,03/10/2009,2.562,-85.54
276,04/10/2009,2.562,-85.02
277,05/10/2009,2.562,-84.83
278,06/10/2009,2.562,-84.47
279,07/10/2009,2.562,-84.05
280,08/10/2009,2.562,-83.63
281,09/10/2009,2.562,-83.22
282,10/10/2009,2.562,-82.13
283,11/10/2009,2.562,-82.19
284,12/10/2009,2.562,-81.5
285,13/10/2009,2.562,-81.57
286,14/10/2009,2.562,-81.43
287,15/10/2009,2.562,-81.33
288,16/10/2009,2.562,-81.25
289,17/10/2009,2.562,-80.88
290,18/10/2009,2.562,-80.42
291,19/10/2009,2.562,-80.13
292,20/10/2009,2.562,-79.83
293,21/10/2009,2.562,-79.4
294,22/10/2009,2.562,-78.43
295,23/10/2009,2.562,-78.25
296,24/10/2009,2.562,-78.02
297,25/10/2009,2.562,-77.39
298,26/10/2009,2.562,-77.02
299,27/10/2009,2.562,-113.96
300,28/10/2009,2.562,-113.96
301,29/10/2009,2.562,-113.96
302,30/10/2009,2.562,-113.96
303,31/10/2009,2.562,-113.96
304,01/11/2009,4.057,-113.96
305,02/11/2009,4.057,-113.96
306,03/11/2009,4.057,-113.96
307,04/11/2009,4.057,-113.96
308,05/11/2009,4.057,-113.96
309,06/11/2009,4.057,-113.96
310,07/11/2009,4.057,-113.96
311,08/11/2009,4.057,-113.96
312,09/11/2009,4.057,-113.96
313,10/11/2009,4.057,-113.96
314,11/11/2009,4.057,-113.96
315,12/11/2009,4.057,-113.96
316,13/11/2009,4.057,-113.96
317,14/11/2009,4.057,-113.96
318,15/11/2009,4.057,-113.96
319,16/11/2009,4.057,-113.96
320,17/11/2009,4.057,-113.96
321,18/11/2009,4.057,-113.96
322,19/11/2009,4.057,-113.96
323,20/11/2009,4.057,-113.96
324,21/11/2009,4.057,-113.96
325,22/11/2009,4.057,-113.96
326,23/11/2009,4.057,-113.96
327,24/11/2009,4.057,-113.96
328,25/11/2009,4.057,-113.96
329,26/11/2009,4.057,-113.96
330,27/11/2009,4.057,-113.96
331,28/11/2009,4.057,-113.96
332,29/11/2009,4.057,-113.96
333,30/11/2009,4.057,-113.96
334,01/12/2009,5.308,-113.96
335,02/12/2009,5.308,-113.96
336,03/12/2009,5.308,-113.96
337,04/12/2009,5.308,-113.96
338,05/12/2009,5.308,-113.96
339,06/12/2009,5.308,-113.96
340,07/12/2009,5.308,-113.96
341,08/12/2009,5.308,-113.96
342,09/12/2009,5.308,-113.96
343,10/12/2009,5.308,-113.96
344,11/12/2009,5.308,-113.96
345,12/12/2009,5.308,-113.96
346,13/12/2009,5.308,-113.96
347,14/12/2009,5.308,-113.96
348,15/12/2009,5.308,-113.96
349,16/12/2009,5.308,-77.55
350,17/12/2009,5.308,-77.56
351,18/12/2009,5.308,-113.96
352,19/12/2009,5.308,-113.96
353,20/12/2009,5.308,-77.57
354,21/12/2009,5.308,-77.58
355,22/12/2009,5.308,-77.59
356,23/12/2009,5.308,-77.6
357,24/12/2009,5.308,-77.61
358,25/12/2009,5.308,-77.62
359,26/12/2009,5.308,-77.63
360,27/12/2009,5.308,-77.64
361,28/12/2009,5.308,-77.65
362,29/12/2009,5.308,-77.66
363,30/12/2009,5.308,-77.67
364,31/12/2009,5.308,-77.68
365,01/01/2010,3.273,-77.69
366,02/01/2010,3.273,-77.7
367,03/01/2010,3.273,-77.71
368,04/01/2010,3.273,-77.72
369,05/01/2010,3.273,-77.73
370,06/01/2010,3.273,-77.74
371,07/01/2010,3.273,-77.75
372,08/01/2010,3.273,-77.76
373,09/01/2010,3.273,-77.77
374,10/01/2010,3.273,-77.78
375,11/01/2010,3.273,-77.79
376,12/01/2010,3.273,-77.8
377,13/01/2010,3.273,-77.81
378,14/01/2010,3.273,-77.82
379,15/01/2010,3.273,-77.83
380,16/01/2010,3.273,-77.84
381,17/01/2010,3.273,-77.85
382,18/01/2010,3.273,-77.86
383,19/01/2010,3.273,-77.87
384,20/01/2010,3.273,-77.88
385,21/01/2010,3.273,-77.89
386,22/01/2010,3.273,-77.9
387,23/01/2010,3.273,-77.91
388,24/01/2010,3.273,-77.92
389,25/01/2010,3.273,-77.93
390,26/01/2010,3.273,-77.94
391,27/01/2010,3.273,-77.95
392,28/01/2010,3.273,-77.96
393,29/01/2010,3.273,-77.97
394,30/01/2010,3.273,-77.98
395,31/01/2010,3.273,-77.99
396,01/02/2010,3.739,-78.0
397,02/02/2010,3.739,-78.01
398,03/02/2010,3.739,-78.02
399,04/02/2010,3.739,-78.05
400,05/02/2010,3.739,-78.06
401,06/02/2010,3.739,-78.07
402,07/02/2010,3.739,-78.08
403,08/02/2010,3.739,-113.96
404,09/02/2010,3.739,-113.96
405,10/02/2010,3.739,-78.09
406,11/02/2010,3.739,-78.1
407,12/02/2010,3.739,-78.11
408,13/02/2010,3.739,-78.12
409,14/02/2010,3.739,-78.13
410,15/02/2010,3.739,-78.14
411,16/02/2010,3.739,-78.15
412,17/02/2010,3.739,-78.16
413,18/02/2010,3.739,-78.17
414,19/02/2010,3.739,-78.18
415,20/02/2010,3.739,-78.19
416,21/02/2010,3.739,-78.2
417,22/02/2010,3.739,-78.21
418,23/02/2010,3.739,-78.22
419,24/02/2010,3.739,-78.23
420,25/02/2010,3.739,-78.24
421,26/02/2010,3.739,-78.25
422,27/02/2010,3.739,-78.26
423,28/02/2010,3.739,-78.27
424,01/03/2010,2.508,-78.28
425,02/03/2010,2.508,-78.29
426,03/03/2010,2.508,-78.3
427,04/03/2010,2.508,-78.31
428,05/03/2010,2.508,-78.32
429,06/03/2010,2.508,-78.33
430,07/03/2010,2.508,-78.34
431,08/03/2010,2.508,-78.35
432,09/03/2010,2.508,-78.36
433,10/03/2010,2.508,-78.37
434,11/03/2010,2.508,-78.38
435,12/03/2010,2.508,-78.39
436,13/03/2010,2.508,-78.4
437,14/03/2010,2.508,-78.41
438,15/03/2010,2.508,-78.42
439,16/03/2010,2.508,-78.43
440,17/03/2010,2.508,-78.44
441,18/03/2010,2.508,-78.45
442,19/03/2010,2.508,-78.46
443,20/03/2010,2.508,-78.47
444,21/03/2010,2.508,-78.48
445,22/03/2010,2.508,-78.49
446,23/03/2010,2.508,-78.5
447,24/03/2010,2.508,-78.51
448,25/03/2010,2.508,-78.52
449,26/03/2010,2.508,-78.55
450,27/03/2010,2.508,-78.56
451,28/03/2010,2.508,-78.57
452,29/03/2010,2.508,-78.58
453,30/03/2010,2.508,-78.59
454,31/03/2010,2.508,-78.6
455,01/04/2010,3.165,-79.11
456,02/04/2010,3.165,-79.12
457,03/04/2010,3.165,-78.61
458,04/04/2010,3.165,-78.62
459,05/04/2010,3.165,-78.63
460,06/04/2010,3.165,-78.64
461,07/04/2010,3.165,-78.65
462,08/04/2010,3.165,-78.66
463,09/04/2010,3.165,-78.67
464,10/04/2010,3.165,-78.68
465,11/04/2010,3.165,-78.69
466,12/04/2010,3.165,-78.7
467,13/04/2010,3.165,-78.71
468,14/04/2010,3.165,-78.72
469,15/04/2010,3.165,-78.73
470,16/04/2010,3.165,-79.24
471,17/04/2010,3.165,-78.75
472,18/04/2010,3.165,-78.76
473,19/04/2010,3.165,-78.77
474,20/04/2010,3.165,-78.78
475,21/04/2010,3.165,-78.79
476,22/04/2010,3.165,-78.8
477,23/04/2010,3.165,-78.81
478,24/04/2010,3.165,-78.82
479,25/04/2010,3.165,-78.83
480,26/04/2010,3.165,-78.84
481,27/04/2010,3.165,-78.85
482,28/04/2010,3.165,-78.86
483,29/04/2010,3.165,-78.87
484,30/04/2010,3.165,-78.88
485,01/05/2010,4.1,-78.89
486,02/05/2010,4.1,-78.9
487,03/05/2010,4.1,-78.91
488,04/05/2010,4.1,-78.92
489,05/05/2010,4.1,-78.93
490,06/05/2010,4.1,-78.94
491,07/05/2010,4.1,-78.95
492,08/05/2010,4.1,-78.96
493,09/05/2010,4.1,-78.97
494,10/05/2010,4.1,-78.98
495,11/05/2010,4.1,-78.99
496,12/05/2010,4.1,-79.0
497,13/05/2010,4.1,-79.01
498,14/05/2010,4.1,-79.02
499,15/05/2010,4.1,-113.96
500,16/05/2010,4.1,-113.96
501,17/05/2010,4.1,-113.96
502,18/05/2010,4.1,-113.96
503,19/05/2010,4.1,-113.96
504,20/05/2010,4.1,-113.96
505,21/05/2010,4.1,-113.96
506,22/05/2010,4.1,-113.96
507,23/05/2010,4.1,-113.96
508,24/05/2010,4.1,-113.96
509,25/05/2010,4.1,-113.96
510,26/05/2010,4.1,-113.96
511,27/05/2010,4.1,-113.96
512,28/05/2010,4.1,-113.96
513,29/05/2010,4.1,-113.96
514,30/05/2010,4.1,-113.96
515,31/05/2010,4.1,-113.96
516,01/06/2010,1.597,-113.96
517,02/06/2010,1.597,-113.96
518,03/06/2010,1.597,-113.96
519,04/06/2010,1.597,-113.96
520,05/06/2010,1.597,-113.96
521,06/06/2010,1.597,-113.96
522,07/06/2010,1.597,-113.96
523,08/06/2010,1.597,-113.96
524,09/06/2010,1.597,-113.96
525,10/06/2010,1.597,-113.96
526,11/06/2010,1.597,-113.96
527,12/06/2010,1.597,-113.96
528,13/06/2010,1.597,-113.96
529,14/06/2010,1.597,-113.96
530,15/06/2010,1.597,-113.96
531,16/06/2010,1.597,-113.96
532,17/06/2010,1.597,-113.96
533,18/06/2010,1.597,-113.96
534,19/06/2010,1.597,-113.96
535,20/06/2010,1.597,-113.96
536,21/06/2010,1.597,-113.96
537,22/06/2010,1.597,-113.96
538,23/06/2010,1.597,-113.96
539,24/06/2010,1.597,-113.96
540,25/06/2010,1.597,-113.96
541,26/06/2010,1.597,-113.96
542,27/06/2010,1.597,-113.96
543,28/06/2010,1.597,-113.96
544,29/06/2010,1.597,-113.96
545,30/06/2010,1.597,-113.96
546,01/07/2010,1.477,-113.96
547,02/07/2010,1.477,-113.96
548,03/07/2010,1.477,-113.96
549,04/07/2010,1.477,-113.96
550,05/07/2010,1.477,-113.96
551,06/07/2010,1.477,-113.96
552,07/07/2010,1.477,-113.96
553,08/07/2010,1.477,-113.96
554,09/07/2010,1.477,-113.96
555,10/07/2010,1.477,-113.96
556,11/07/2010,1.477,-113.96
557,12/07/2010,1.477,-113.96
558,13/07/2010,1.477,-113.96
559,14/07/2010,1.477,-113.96
560,15/07/2010,1.477,-113.96
561,16/07/2010,1.477,-113.96
562,17/07/2010,1.477,-113.96
563,18/07/2010,1.477,-113.96
564,19/07/2010,1.477,-113.96
565,20/07/2010,1.477,-113.96
566,21/07/2010,1.477,-113.96
567,22/07/2010,1.477,-113.96
568,23/07/2010,1.477,-113.96
569,24/07/2010,1.477,-113.96
570,25/07/2010,1.477,-113.96
571,26/07/2010,1.477,-113.96
572,27/07/2010,1.477,-113.96
573,28/07/2010,1.477,-113.96
574,29/07/2010,1.477,-113.96
575,30/07/2010,1.477,-113.96
576,31/07/2010,1.477,-113.96
577,01/08/2010,0.758,-113.96
578,02/08/2010,0.758,-113.96
579,03/08/2010,0.758,-113.96
580,04/08/2010,0.758,-113.96
581,05/08/2010,0.758,-113.96
582,06/08/2010,0.758,-113.96
583,07/08/2010,0.758,-113.96
584,08/08/2010,0.758,-113.96
585,09/08/2010,0.758,-113.96
586,10/08/2010,0.758,-113.96
587,11/08/2010,0.758,-113.96
588,12/08/2010,0.758,-113.96
589,13/08/2010,0.758,-113.96
590,14/08/2010,0.758,-113.96
591,15/08/2010,0.758,-113.96
592,16/08/2010,0.758,-113.96
593,17/08/2010,0.758,-113.96
594,18/08/2010,0.758,-113.96
595,19/08/2010,0.758,-113.96
